title,genre
tears of the sun,Action
far from home,Adventure
double bang,Action
wings of the hawks,Adventure
premium rush,Action
bulletproof,Action
courage of lassie,Adventure
the bravados,Western
convoy,Adventure
shaft in africa,Adventure
hitman: agent 47,Action
alien 3,Fantasy
windwalker,Western
free willy,Adventure
the empty man,Horror
jeepers creepers iii,Horror
i drink your blood,Horror
joshua tree,Action
the shadow,Fantasy
ready player one,Fantasy
losin' it,Adventure
the curse,Horror
found,Horror
deadwood - the movie,Western
the frozen dead,Horror
turbulence,Action
the peacekeeper,Action
chocolate,Horror
oblivion,Fantasy
kid rodelo,Western
the guardian,Horror
2012,Action
malevolent,Horror
desert hawk,Adventure
souls at sea,Adventure
hearthquake,Action
federal protection,Action
sideshow,Horror
desperate trail,Western
lassie,Adventure
4d man,Fantasy
24: redemption,Action
lion strike,Action
something evil,Horror
california conquest,Adventure
lionheart,Action
the land unknown,Fantasy
jenifer,Horror
the tall stranger,Western
innocent blood,Horror
"lassie, come home!",Adventure
lethal weapon 4,Action
sub zero,Action
trooper hook,Western
watusi,Adventure
the burrowers,Horror
the haunted palace,Horror
we can be heroes,Fantasy
kill bill: vol. 1,Action
mile 22,Action
the island,Fantasy
conan the barbarian,Fantasy
warrior,Action
olympus has fallen,Action
insidious: chapter 2,Horror
spell,Horror
beneath loch ness,Adventure
dakota incident,Western
red river range,Western
devil's doorway,Western
winterhawk,Western
desert legion,Action
fuzz,Adventure
cold harvest,Action
last woman on earth,Horror
saving flora,Adventure
40 days and nights,Fantasy
stick,Action
dead in tombstone,Action
final approach,Action
the unnamable,Horror
cutthroat island,Adventure
double impact,Action
gargantua,Fantasy
delta force 3,Action
hard target 2,Action
the archer,Action
ghosthunters,Horror
slaughterhouse-five,Fantasy
double dragon,Action
godzilla,Fantasy
disturbing the peace,Action
stranded,Fantasy
the purple mask,Adventure
habit,Horror
replicas,Fantasy
tokarev,Action
the bounty hunter,Action
flipper,Adventure
snakes on a train,Action
riot,Action
white squall,Adventure
